cutoff_hz,cutoff_label,model,mean_rmse,std_rmse,mean_corr,std_corr,mean_r2,std_r2
0.15,0.15,Lasso,3.01183106231424,0.621682635083777,0.8772102643373438,0.033551793846427105,0.6501018025429102,0.09112324547379176
0.15,0.15,ElasticNet,2.9682723756806526,0.5702640856281127,0.875250034423679,0.030980207258102684,0.660285456046236,0.07987829705506837
0.15,0.15,RF_9t_2f,2.959030673105946,0.4053649300797491,0.8599766865651518,0.04739038625503262,0.6517971674035271,0.11088068503526119
0.15,0.15,RF_50t,3.0350258767931706,0.4782879668459128,0.8579626161404506,0.05361810229683254,0.6303787524238076,0.14196051916701616
0.15,0.15,RF_200t,3.0148131154862354,0.4751374823923575,0.8602903787637965,0.052802926626411686,0.6356018575681686,0.13895112681580046
0.2,0.2,OLS,3.0097890809050982,0.6473872765771652,0.8775939824438064,0.031108807730395097,0.6479763349722552,0.10771672826245236
0.2,0.2,Ridge,2.9803986906689075,0.6129964859812431,0.8733372347185553,0.030476057163928164,0.6581228664546321,0.08585892931481301
0.2,0.2,Lasso,3.022127013782891,0.6171109614429398,0.8762233469635227,0.034571224773019923,0.6477281710187818,0.09016478165830599
0.2,0.2,ElasticNet,2.974705933046799,0.5709809893603891,0.8747769566745176,0.031121506659826884,0.6587931667504334,0.08018151993549726
0.2,0.2,RF_9t_2f,2.9843591551478563,0.4033493313794933,0.8588555655396245,0.050886878888068074,0.6434771911915456,0.12357616367489023
0.2,0.2,RF_50t,3.0360085064353557,0.44682648383268275,0.8566328844449862,0.05317546165331564,0.6300093276904382,0.14020755239420934
0.2,0.2,RF_200t,3.0150505096688005,0.44632123354233716,0.8588341352368732,0.05224192404290064,0.6359070863306899,0.13440623608948618
0.3,0.3,OLS,3.020122111822996,0.6448479543815381,0.8770930042890307,0.03117776207035036,0.6456633284089409,0.1068380582095061
0.3,0.3,Ridge,2.9946885915892683,0.6220212735048105,0.8722624614990366,0.030526680215165945,0.6547429598540622,0.08821466336678725
0.3,0.3,Lasso,3.0365883551536026,0.6031843720991408,0.8756420131066158,0.03410899884495345,0.6445254114936906,0.08707603964892678
0.3,0.3,ElasticNet,2.9838170223371634,0.5718757259868217,0.8740995528471168,0.031361168386064606,0.6566725844504826,0.08060427698453808
0.3,0.3,RF_9t_2f,2.966607669505376,0.37805475258380766,0.8580980519890066,0.04931809733854565,0.6490353694342499,0.11279281338800377
0.3,0.3,RF_50t,3.024403643165269,0.41383028823819423,0.8564882892228405,0.052244844170097005,0.6338138596838441,0.1281561984388392
0.3,0.3,RF_200t,3.005985113136623,0.41576885947262066,0.8588335605096078,0.052214066059676406,0.6386779521665527,0.12561983811464414
0.5,0.5,OLS,3.0380446956595692,0.6443463422965511,0.8764464804252984,0.031667258822071,0.6414525680706828,0.10687205544406982
0.5,0.5,Ridge,3.016649627830003,0.612055893407969,0.8706236616024561,0.03107816954401381,0.6496526542178944,0.0866318072583646
0.5,0.5,Lasso,3.0582877918221727,0.5942423841276553,0.8752529837443351,0.03374232593465023,0.639436962125289,0.08530457172761484
0.5,0.5,ElasticNet,2.9986768821979854,0.5732046491589647,0.8729696300369837,0.03196441732085691,0.6531601324143941,0.08145584463062688
0.5,0.5,RF_9t_2f,3.088246239811006,0.41399621453609287,0.8475372438470773,0.05112813481381286,0.6196233985741968,0.1238915802745125
0.5,0.5,RF_50t,3.160786836387506,0.4612650977599625,0.8439302409486148,0.05607289110474276,0.5988212355085941,0.14648928857564256
0.5,0.5,RF_200t,3.138933523691762,0.4547462366534492,0.8461435259725656,0.05572279147681674,0.604322179548896,0.14465999254399342
